RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,MeasurementUnitID,AcquisitionSession,OuterFold_20260523,OuterFold_20260607,OuterFold_20260701,OuterFold_20260811,OuterFold_20260903,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag,FoldID,PredictedTHSHRC,DataClass,HeatSegment,SessionID,Ear,Air,Time,Actual,Predicted,Residual,BenchmarkSeed,FoldMode
MEAS_R000001,C021,S01,1,1,30.0,38.3,13.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000001,0,4,5,1,4,5,3,17,27.2,30.7,10.1,2.8000000000000007,3.0,0.258819045102521,-0.9659258262890682,0.0,16.9,0,0,4,38.26825728170504,measured,cold,S01_C021,30.0,13.1,11.0,38.3,38.26825728170504,0.03174271829495723,20260811,fixed_outer_fold_20260811
MEAS_R000002,C021,S01,2,2,30.4,38.3,16.0,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000002,0,4,2,2,5,4,5,17,32.9,30.0,15.1,-2.5,0.9000000000000004,1.2246467991473532e-16,-1.0,0.0,14.4,0,0,5,38.1763323409005,measured,cold,S01_C021,30.4,16.0,12.0,38.3,38.1763323409005,0.12366765909949606,20260811,fixed_outer_fold_20260811
MEAS_R000003,C021,S01,3,3,31.5,38.2,18.3,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000003,0,3,4,2,2,2,8,17,31.8,31.1,23.2,-0.3000000000000007,-4.899999999999999,-0.2588190451025208,-0.9659258262890684,0.0176470588235294,13.2,0,0,2,38.16754512947777,measured,moderate,S01_C021,31.5,18.3,13.0,38.2,38.16754512947777,0.03245487052222984,20260811,fixed_outer_fold_20260811
MEAS_R000004,C021,S01,4,4,32.6,38.4,20.8,14.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000004,0,1,3,5,2,2,11,17,32.0,31.6,18.8,0.6000000000000014,2.0,-0.4999999999999997,-0.8660254037844388,0.1647058823529412,11.8,0,0,2,38.130086418324495,measured,moderate,S01_C021,32.6,20.8,14.0,38.4,38.130086418324495,0.26991358167550317,20260811,fixed_outer_fold_20260811
MEAS_R000005,C021,S01,5,5,32.8,38.1,22.0,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000005,0,1,3,4,1,1,12,17,32.6,32.0,20.8,0.1999999999999957,1.1999999999999993,-0.7071067811865471,-0.7071067811865479,0.2352941176470588,10.799999999999995,0,0,1,38.21959214118121,measured,moderate,S01_C021,32.8,22.0,15.0,38.1,38.21959214118121,-0.11959214118120798,20260811,fixed_outer_fold_20260811
MEAS_R000006,C021,S01,6,6,28.1,38.3,13.4,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000006,0,5,2,1,4,1,13,17,32.8,32.6,22.0,-4.699999999999996,-8.6,-0.7071067811865477,0.7071067811865474,0.0,14.7,0,1,4,38.35778924546292,measured,cold,S01_C021,28.1,13.4,21.0,38.3,38.35778924546292,-0.057789245462920746,20260811,fixed_outer_fold_20260811
MEAS_R000007,C021,S01,7,7,29.3,38.3,11.8,22.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000007,0,2,4,3,3,3,15,17,30.0,28.1,7.7,-0.6999999999999993,4.1000000000000005,-0.5000000000000004,0.8660254037844384,0.0,17.5,0,1,3,38.2737127712992,measured,cold,S01_C021,29.3,11.8,22.0,38.3,38.2737127712992,0.02628722870079514,20260811,fixed_outer_fold_20260811
MEAS_R000008,C021,S01,8,8,29.2,38.2,10.9,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000008,0,3,1,4,1,3,16,17,29.3,30.0,11.8,-0.1000000000000014,-0.9000000000000004,-0.2588190451025215,0.965925826289068,0.0,18.3,0,1,1,38.20378301792219,measured,cold,S01_C021,29.2,10.9,23.0,38.2,38.20378301792219,-0.003783017922188492,20260811,fixed_outer_fold_20260811
MEAS_R000009,C021,S01,9,9,28.6,38.0,10.9,24.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000009,0,1,1,3,3,4,17,17,29.2,29.3,10.9,-0.5999999999999979,0.0,-2.4492935982947064e-16,1.0,0.0,17.700000000000003,0,1,3,38.24756507879125,measured,cold,S01_C021,28.6,10.9,24.0,38.0,38.24756507879125,-0.24756507879124712,20260811,fixed_outer_fold_20260811
MEAS_R000010,C003,S01,10,10,31.4,39.0,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000010,0,1,2,3,1,1,1,17,31.4,31.4,5.4,0.0,0.0,0.0,1.0,0.0,26.0,0,1,1,38.53230713981594,measured,cold,S01_C003,31.4,5.4,0.0,39.0,38.53230713981594,0.46769286018405865,20260811,fixed_outer_fold_20260811
MEAS_R000011,C003,S01,11,11,33.3,38.8,6.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000011,0,2,4,5,4,1,2,17,31.4,31.4,5.4,1.8999999999999984,0.6999999999999993,0.258819045102521,-0.9659258262890682,0.0,27.2,0,0,4,38.57762626025112,measured,cold,S01_C003,33.3,6.1,11.0,38.8,38.57762626025112,0.22237373974887475,20260811,fixed_outer_fold_20260811
